Country,Cancer Type,Year,Total Deaths
Australia,Prostate Cancer,2020,107500
France,Lung Cancer,2019,128822
China,Prostate Cancer,2023,7441
Japan,Breast Cancer,2019,49034
France,Breast Cancer,2023,148680
India,Lung Cancer,2023,41848
France,Lung Cancer,2021,49727
Canada,Prostate Cancer,2019,60910
UK,Liver Cancer,2020,128525
Germany,Liver Cancer,2021,62985
Australia,Lung Cancer,2018,60312
China,Breast Cancer,2022,58799
Brazil,Breast Cancer,2019,5795
UK,Breast Cancer,2022,38705
UK,Liver Cancer,2022,118393
Germany,Prostate Cancer,2020,149645
China,Lung Cancer,2022,6931
Germany,Prostate Cancer,2022,109896
Brazil,Breast Cancer,2018,10186
UK,Liver Cancer,2019,95055
Brazil,Breast Cancer,2019,45435
China,Liver Cancer,2021,75247
Germany,Liver Cancer,2020,54486
France,Breast Cancer,2018,28006
Australia,Colon Cancer,2023,129858
France,Liver Cancer,2023,19144
India,Colon Cancer,2020,30865
Germany,Breast Cancer,2023,90627
Japan,Colon Cancer,2023,100580
Japan,Liver Cancer,2023,6759
France,Prostate Cancer,2022,138677
India,Colon Cancer,2022,128202
China,Breast Cancer,2023,16887
Canada,Breast Cancer,2022,35233
Germany,Liver Cancer,2018,80395
India,Lung Cancer,2020,64175
Japan,Breast Cancer,2019,73637
France,Lung Cancer,2018,53969
UK,Colon Cancer,2022,66471
Canada,Lung Cancer,2023,130833
Japan,Colon Cancer,2023,92171
USA,Liver Cancer,2019,70084
France,Lung Cancer,2021,71215
France,Breast Cancer,2023,62055
China,Colon Cancer,2018,80881
Australia,Colon Cancer,2022,114670
Japan,Prostate Cancer,2023,101102
USA,Breast Cancer,2018,99795
India,Colon Cancer,2023,22926
China,Breast Cancer,2019,66501
Japan,Liver Cancer,2019,78423
UK,Breast Cancer,2018,112250
Australia,Prostate Cancer,2019,86073
Brazil,Breast Cancer,2021,123033
China,Breast Cancer,2021,136859
Germany,Colon Cancer,2020,97968
France,Prostate Cancer,2022,31888
India,Breast Cancer,2021,133114
Germany,Colon Cancer,2023,12106
UK,Lung Cancer,2022,141479
France,Liver Cancer,2023,38993
Canada,Prostate Cancer,2022,111636
Australia,Lung Cancer,2021,102708
Canada,Prostate Cancer,2021,49870
Australia,Lung Cancer,2021,80348
Canada,Breast Cancer,2021,14447
Japan,Colon Cancer,2023,80126
France,Lung Cancer,2019,8206
Brazil,Lung Cancer,2021,63782
Canada,Prostate Cancer,2018,142719
USA,Prostate Cancer,2019,50479
India,Colon Cancer,2020,108016
Australia,Liver Cancer,2021,58120
USA,Liver Cancer,2018,144782
UK,Breast Cancer,2019,55999
Australia,Liver Cancer,2022,136377
China,Prostate Cancer,2021,66189
Japan,Breast Cancer,2018,61656
Brazil,Liver Cancer,2023,59860
Australia,Breast Cancer,2022,51793
Japan,Breast Cancer,2019,124577
USA,Lung Cancer,2023,48705
Japan,Prostate Cancer,2018,77131
USA,Liver Cancer,2019,118280
India,Breast Cancer,2020,86789
Canada,Prostate Cancer,2021,57493
UK,Colon Cancer,2018,45923
USA,Breast Cancer,2021,43570
Brazil,Colon Cancer,2019,80282
France,Liver Cancer,2020,116010
France,Lung Cancer,2022,97657
India,Breast Cancer,2023,83408
China,Prostate Cancer,2019,109705
Japan,Colon Cancer,2018,97982
Japan,Breast Cancer,2018,76557
UK,Colon Cancer,2019,76834
India,Prostate Cancer,2023,149046
USA,Breast Cancer,2021,9714
Germany,Lung Cancer,2022,133842
France,Liver Cancer,2020,66956
Japan,Colon Cancer,2021,18493
Australia,Liver Cancer,2019,89233
France,Lung Cancer,2023,135915
Canada,Breast Cancer,2021,108090
UK,Lung Cancer,2018,26849
UK,Prostate Cancer,2023,70230
Canada,Prostate Cancer,2022,121204
USA,Breast Cancer,2023,145603
China,Breast Cancer,2020,106498
UK,Colon Cancer,2018,37657
Japan,Liver Cancer,2022,28249
China,Prostate Cancer,2022,17028
China,Colon Cancer,2023,121037
Brazil,Prostate Cancer,2021,107189
Australia,Prostate Cancer,2021,9854
China,Prostate Cancer,2023,129691
Australia,Prostate Cancer,2021,78433
Brazil,Prostate Cancer,2021,40389
UK,Lung Cancer,2022,148645
Australia,Breast Cancer,2019,54783
Germany,Breast Cancer,2018,12395
India,Colon Cancer,2022,40695
USA,Breast Cancer,2019,78419
France,Colon Cancer,2021,124419
India,Breast Cancer,2023,116658
Brazil,Lung Cancer,2022,146878
Canada,Breast Cancer,2023,136884
France,Liver Cancer,2021,11087
Germany,Breast Cancer,2019,63514
India,Prostate Cancer,2018,6555
China,Breast Cancer,2020,26910
France,Liver Cancer,2023,126401
India,Colon Cancer,2021,97880
USA,Prostate Cancer,2022,117335
UK,Colon Cancer,2019,48620
India,Colon Cancer,2019,81646
Canada,Lung Cancer,2021,16718
Canada,Colon Cancer,2020,125920
France,Prostate Cancer,2023,134036
Australia,Breast Cancer,2018,65225
UK,Colon Cancer,2021,119676
UK,Liver Cancer,2022,118166
India,Lung Cancer,2019,8040
UK,Prostate Cancer,2022,132631
Australia,Prostate Cancer,2018,9936
Canada,Breast Cancer,2019,92679
India,Colon Cancer,2020,7177
India,Breast Cancer,2018,120901
Australia,Breast Cancer,2019,104120
Japan,Liver Cancer,2020,84728
France,Colon Cancer,2018,121598
Australia,Breast Cancer,2022,98205
France,Liver Cancer,2022,138628
France,Prostate Cancer,2023,144651
USA,Liver Cancer,2020,69715
UK,Colon Cancer,2018,49592
Australia,Colon Cancer,2022,81974
China,Lung Cancer,2019,130212
USA,Liver Cancer,2022,6112
USA,Breast Cancer,2022,124726
Japan,Colon Cancer,2021,14245
Germany,Prostate Cancer,2023,106153
India,Colon Cancer,2019,42197
Australia,Colon Cancer,2022,142598
France,Breast Cancer,2018,120693
UK,Lung Cancer,2023,147729
Brazil,Breast Cancer,2020,77180
Germany,Colon Cancer,2018,120980
France,Lung Cancer,2023,42864
Japan,Colon Cancer,2018,92486
France,Colon Cancer,2020,64246
India,Liver Cancer,2022,73287
UK,Liver Cancer,2020,12544
Brazil,Prostate Cancer,2018,137545
UK,Lung Cancer,2018,63519
Canada,Liver Cancer,2019,53662
Japan,Liver Cancer,2019,27529
Canada,Lung Cancer,2023,93598
Australia,Prostate Cancer,2021,112723
USA,Prostate Cancer,2022,147132
UK,Liver Cancer,2019,133071
India,Breast Cancer,2022,15096
France,Lung Cancer,2020,109797
China,Prostate Cancer,2023,114253
Canada,Liver Cancer,2020,82668
France,Breast Cancer,2023,18380
China,Liver Cancer,2020,149811
Brazil,Liver Cancer,2021,32802
UK,Colon Cancer,2023,26432
Brazil,Lung Cancer,2019,67169
Canada,Colon Cancer,2021,141454
Australia,Lung Cancer,2023,76585
Germany,Colon Cancer,2023,130199
Canada,Prostate Cancer,2022,23897
India,Liver Cancer,2023,53244
France,Breast Cancer,2022,59003
Canada,Liver Cancer,2019,75381
Brazil,Prostate Cancer,2018,72653
Japan,Colon Cancer,2023,64143
Canada,Lung Cancer,2023,23667
UK,Lung Cancer,2018,133921
Germany,Breast Cancer,2021,142635
France,Breast Cancer,2019,70747
Brazil,Liver Cancer,2018,39518
USA,Breast Cancer,2023,90787
France,Breast Cancer,2019,64056
USA,Lung Cancer,2018,45909
Germany,Liver Cancer,2020,132150
China,Breast Cancer,2021,77745
USA,Lung Cancer,2023,130559
UK,Prostate Cancer,2021,119033
France,Liver Cancer,2022,119944
India,Prostate Cancer,2021,87385
Germany,Liver Cancer,2022,53037
China,Breast Cancer,2023,98622
China,Lung Cancer,2019,109686
Brazil,Breast Cancer,2022,56994
Brazil,Prostate Cancer,2019,43739
Japan,Liver Cancer,2018,17706
China,Lung Cancer,2020,12932
UK,Liver Cancer,2022,45695
USA,Lung Cancer,2018,142769
USA,Lung Cancer,2018,129655
Brazil,Colon Cancer,2019,88942
Germany,Prostate Cancer,2021,108770
Canada,Colon Cancer,2021,22845
USA,Colon Cancer,2019,123846
Australia,Breast Cancer,2018,66526
USA,Prostate Cancer,2020,36304
France,Liver Cancer,2020,80281
Japan,Colon Cancer,2020,149965
Japan,Breast Cancer,2020,92990
India,Liver Cancer,2019,56963
UK,Prostate Cancer,2018,67423
Canada,Prostate Cancer,2018,28026
India,Lung Cancer,2022,58725
Australia,Colon Cancer,2023,129852
USA,Colon Cancer,2020,40474
Japan,Lung Cancer,2021,106312
UK,Lung Cancer,2022,40176
UK,Prostate Cancer,2022,82223
USA,Colon Cancer,2022,48720
UK,Liver Cancer,2018,49027
Brazil,Breast Cancer,2023,123711
UK,Liver Cancer,2019,56376
India,Colon Cancer,2021,57146
Japan,Prostate Cancer,2018,62054
Germany,Lung Cancer,2021,61304
Canada,Breast Cancer,2021,136442
Canada,Lung Cancer,2020,66694
USA,Breast Cancer,2023,93513
France,Colon Cancer,2019,41203
India,Liver Cancer,2018,128275
France,Lung Cancer,2020,61969
Australia,Colon Cancer,2019,79935
Germany,Breast Cancer,2019,12631
Brazil,Prostate Cancer,2022,107427
France,Colon Cancer,2022,75088
USA,Lung Cancer,2022,65208
USA,Breast Cancer,2021,21962
